Id,SalePrice
2658,160000
2718,145000
2414,157500
1989,103000
625,205000
333,75000
1327,110000
858,152000
95,155000
1568,228000
2482,130000
1364,110000
2584,120000
818,269500
2673,146500
2089,150000
1297,205000
790,113000
2616,226500
720,174500
222,147500
557,159000
1148,190000
2766,230000
534,154000
1452,110000
630,161500
2648,104900
125,148000
1904,55000
1670,120500
756,85000
717,197900
1032,175000
852,213000
1731,225000
2639,136500
2071,130000
1267,112000
1851,208900
567,173733
2439,215000
1898,140000
647,160000
2256,241500
979,129500
1444,211000
2485,134500
157,133000
88,122500
2003,79000
186,179900
1425,279500
2695,116000
738,98000
395,147000
1353,113000
1878,144000
390,176000
1456,237000
1103,374000
1387,125000
2070,187000
1199,141000
2479,197000
501,213250
2362,118500
1718,286000
2188,98000
1483,155900
2557,105000
437,269500
2224,150000
1628,170000
397,154000
587,143000
971,131000
2611,102000
1887,112000
2399,300000
2148,200141
304,122000
1997,127000
2817,188000
1431,196500
427,318000
263,129500
598,175000
2895,168000
687,156000
1822,127000
2191,108000
179,110000
1009,188500
2010,98000
1991,165000
1411,136500
1721,209500
1144,173000
593,184900
575,262500
1249,156500
1604,134500
1064,450000
1923,176000
1988,116500
2325,176000
114,183000
2700,130000
217,136500
343,184000
386,205000
2005,99500
2908,146000
1814,235000
2446,300000
208,160000
1679,96000
822,335000
6,189500
1781,374000
2397,266000
2340,277500
1618,147000
2843,127000
1061,350000
2786,110000
1935,127000
1341,149000
521,244600
2136,172500
996,205000
227,149900
135,160000
1167,155000
294,205000
1776,210400
540,154000
1717,145000
2303,139500
116,145500
127,85000
1371,161000
1014,192000
1507,127000
702,154300
750,149000
261,110000
1559,75000
577,197900
2812,203160
2080,108000
1368,119000
2376,172000
659,114000
1235,135000
332,88000
1917,180500
2094,217000
1460,250000
1471,198000
1509,110000
1922,158000
433,350000
460,192000
1116,244600
1137,142000
53,124000
2354,226000
1475,224900
1761,315000
842,130000
2739,170000
2509,147400
1007,189000
2610,155000
1952,109500
2719,171000
2921,79400
1966,127000
292,91000
1204,187500
1829,187000
2419,169985
391,181000
798,122000
481,187500
193,205000
555,123000
899,45000
2357,250000
328,153000
1356,108500
1154,120000
1730,170000
2249,160500
1119,339750
2856,164000
1394,165000
2587,140000
61,250000
2661,209000
2711,145000
1147,195500
757,149000
2623,100000
2378,180000
1413,147000
1722,209500
1112,172500
1623,183500
1201,205000
1513,135000
957,302000
1171,328900
1145,201000
2726,220000
703,205000
760,98000
1964,127000
2512,156000
159,185000
1281,140000
468,176000
290,140000
665,94000
1463,267000
1792,200000
923,85000
500,252000
1408,157000
331,124000
170,149000
2192,100000
2571,260000
2314,176000
2647,102000
422,327000
2457,279000
1838,196000
2805,255000
1645,152000
1711,250000
2825,235500
322,320000
2103,248900
342,122000
600,180500
488,181000
1725,209500
2246,300000
2847,136500
806,230000
530,213000
963,180000
2678,107000
171,95000
2401,412083
805,196500
2259,190000
1748,156000
1361,120000
1677,88000
1406,160000
2322,215000
688,154000
143,128000
804,150000
1214,155000
2828,140000
1999,239000
2467,166000
2665,159500
1538,290000
398,124500
2822,107000
2157,145000
1856,207500
1269,123000
2570,102000
2320,250000
1517,161000
2304,123600
1312,79000
2012,105000
506,215000
2865,259500
2367,89000
554,113000
238,143000
1954,142000
2488,215000
2291,79400
1969,127000
2725,149900
1482,155900
2763,195800
503,196500
1584,220000
1531,91000
2210,127500
459,319900
556,124500
1347,114000
1290,100000
1388,67000
1571,302000
2754,194000
765,133000
2494,141000
2870,235000
7,179200
1114,220000
2418,248000
291,136000
18,323262
39,350000
1001,285000
2442,225000
616,93000
2680,100000
1414,127000
289,104000
40,235128
860,128500
409,148500
673,146000
2427,167240
2036,224500
2564,187000
642,128600
1008,173000
1908,141000
2519,164000
1369,103000
2855,219500
712,94000
1943,137000
1958,120000
107,206000
2295,270000
704,85000
676,130000
259,150000
93,350000
106,263550
2315,188000
1050,141000
1095,215000
2709,125000
758,135900
1496,149500
2370,116000
2458,307000
2733,135000
161,260000
726,161000
845,224900
947,230000
2232,137000
2563,156500
2299,115400
211,85000
605,145000
1478,193000
2247,300000
2274,370000
2869,218000
967,191000
2656,129900
667,342000
1042,96000
2023,149000
2447,322500
2055,124000
2275,300000
2204,132000
1563,250000
483,254000
796,124000
1526,161000
2042,93000
442,337500
1693,356383
1468,237000
1430,190000
2605,146500
1529,179900
335,139500
1287,110000
31,88000
1785,280000
82,205000
2620,144000
252,173500
721,91000
2165,176432
2316,183200
775,129500
1558,68000
17,184000
1022,241500
925,128000
438,255900
1270,137900
1272,123000
215,105000
266,236000
2402,255000
1250,148500
1984,137500
1279,140000
377,290000
1252,150000
2156,197000
499,290000
1374,160000
2898,330000
401,111250
2721,217000
2078,243000
2589,156500
1946,340000
1334,132000
2781,237000
431,318000
576,205000
1474,193000
2254,148000
2155,300000
885,216000
643,127000
1944,105000
480,178000
2845,108000
2387,290000
2407,171750
2527,160000
2514,164700
629,163000
80,150000
1876,160000
1546,110000
2518,149900
2347,172000
783,289000
1322,80000
194,128000
1770,284000
2143,79275
1229,250000
511,306000
46,173000
1348,205000
2465,184900
387,189500
873,213000
1918,128500
2764,237000
2184,147000
934,155000
1920,142000
2631,157500
1768,410000
2040,129500
1749,225000
834,261500
1457,191000
79,123000
2302,144000
1817,145000
2755,212900
359,184500
2059,110000
2092,223000
2516,261329
150,109500
1656,141000
83,105000
2411,176000
795,63900
2312,219210
2917,84500
1624,184900
2215,225000
1211,157500
1485,155900
1024,180000
570,199900
2874,105000
700,188000
2756,194000
2022,200000
583,205000
2392,279500
2424,213490
212,124000
736,119000
1610,163000
890,159000
467,181000
578,210000
1747,170000
1149,130000
2758,198000
857,119900
2219,234000
733,113000
2909,115000
1798,266000
235,139000
2366,124000
1027,141000
1195,155000
1303,82000
148,205000
608,166000
2515,209000
821,320000
2500,258000
745,110000
741,152000
1611,160000
2532,112000
1081,226500
1692,315000
2520,172000
276,118858
1992,110000
663,52000
418,118000
1733,183500
2359,160000
253,179781
1518,200000
2035,135000
2919,115000
1540,205000
2120,156000
1674,194700
256,119900
2361,115000
978,73000
2280,97000
2095,210000
1709,316000
2801,237000
1246,109000
2373,115000
1055,245700
2017,140000
1099,222500
1344,89000
835,190000
1117,182000
2043,119000
2085,124000
410,177500
2650,110000
2867,165000
1668,141000
1161,164700
2122,217000
2539,148000
1047,127500
1445,130000
541,143500
569,236500
1276,120000
918,160000
326,279500
1936,129000
895,124000
257,133000
1241,180500
1545,119000
1189,392500
270,143750
2066,140000
693,80000
1259,149000
2916,141000
2321,200000
1977,136500
1895,120000
1240,158500
85,145000
1823,155000
825,269500
110,203000
697,140750
2297,118000
1231,142000
1355,107000
968,320000
584,205000
1315,132000
1606,134900
206,123000
1685,300000
2016,135000
869,197900
2135,130000
2346,187000
2430,172000
2198,113000
2652,119900
27,111250
241,173500
906,100000
1506,139500
2098,410000
1435,203000
2213,150000
1274,112000
743,82000
1737,176485
2797,300000
2185,82000
58,177500
830,206000
808,118858
680,140000
1153,145000
1291,134000
1818,215000
2161,173900
1883,126000
350,278000
2473,146000
295,202900
293,190000
859,125000
288,85000
1578,172500
102,155000
2831,130000
1030,181000
2551,148000
1286,169000
958,392000
776,129500
72,185000
2263,248900
1866,142500
2876,105000
2146,191000
103,155000
1500,140000
492,252000
167,154000
2597,135000
2685,119000
1035,154000
1220,52000
2602,146500
2159,195000
695,215000
1109,205000
640,147000
1652,170000
2090,197900
1188,167000
2345,179900
1059,410000
2751,239799
128,205000
1523,224500
2925,157500
2145,318000
1121,229800
566,239000
565,178000
1331,104000
2928,130000
156,129000
797,107000
327,88000
2859,144000
1453,134900
1762,315000
1868,392000
1760,178000
1113,244600
1812,207500
117,154000
1142,214000
2342,450000
927,143000
2478,207500
655,105000
2064,125000
369,245000
2239,120000
2732,177000
1653,160000
959,197900
2395,412083
1412,118500
271,193000
1484,155900
1497,153500
552,205000
2,144000
1855,226500
4,205000
2292,158500
134,124000
646,144000
42,360000
532,203000
713,118000
2561,141000
2360,141000
1333,127000
1407,207000
2892,312500
574,200000
1227,155000
2591,156500
1476,214000
1125,252000
1446,119900
408,96000
1101,310000
2251,213000
373,175500
2554,132000
2382,253000
1985,125500
519,203000
1093,181000
864,230000
2889,140000
2308,175500
986,231500
1302,135000
585,173000
2708,145000
147,136000
1441,220000
383,188000
285,135000
181,50138
358,178000
780,158000
258,254900
1865,226000
692,127500
2902,312500
508,235128
2638,129500
36,148500
611,143000
2281,148000
1678,105500
1696,315000
1557,110000
2180,193000
1726,209500
951,128000
267,236000
2706,135000
2221,218000
1357,139000
2901,271000
347,168500
2164,195400
1586,279500
360,176000
1769,215000
2617,185000
1879,130000
991,210000
1535,111000
1191,136905
1579,173000
1882,99000
1510,137500
2196,136500
1845,176000
2336,300000
942,98000
861,131900
2555,135000
1392,136500
2099,248900
1543,123900
948,239000
1239,178900
22,187500
2796,250000
2747,198000
92,287500
210,198000
1858,230000
2228,140000
447,229800
827,213000
1649,226000
682,135000
2698,125000
494,174000
214,40000
2441,204000
2679,125000
1336,119000
465,178000
1524,122000
2543,140000
631,132000
2452,268000
228,189000
126,136000
1092,173000
1122,182000
932,157000
1980,125000
2171,129500
551,130500
2768,198000
2056,110000
1159,410000
2645,146500
1174,156000
2266,225000
2462,426000
1219,135000
2922,150000
118,159000
474,178000
2576,148000
872,220000
1077,209500
1536,105000
1150,139000
2341,300000
1931,135000
2785,135000
2538,127000
597,183000
464,177500
233,152500
2169,125000
2123,173000
1867,153500
137,301500
515,236000
933,123900
2784,165000
972,165000
599,182000
2614,109000
2582,157500
1409,160000
175,105000
352,239500
976,119900
2134,188000
984,118500
2396,271000
1673,146000
404,122500
607,155000
814,153337
868,191000
2271,200141
1633,239000
337,189000
2765,242500
1746,215000
368,360000
2806,193000
1662,159000
1234,240000
1373,124000
1672,130000
1939,129200
